id,message
1,Congratulations! You have been selected for a free cruise.
2,"Hey, are we still meeting at 6?"
3,Win a brand new car by entering the contest now!
4,Limited-time offer: Get 90% OFF on your next order. Click now!
5,Can you send me the report by noon?
6,URGENT: Your account is on hold. Verify details here.
7,Happy birthday! Hope you have a great day ðŸŽ‰
8,"Youâ€™ve won $1,000! Claim your prize at www.example-prize.com"
9,"Stuck in traffic, might be 10 mins late."
10,Exclusive deal for VIP members. Reply YES to opt-in.
11,Lunch today or tomorrow?
12,FREE gift card for the first 100 customers. Tap the link.
13,Donâ€™t forget the dentist appointment at 3 PM.
14,Final notice: Your parcel cannot be delivered. Pay fee to reschedule.
15,Great job on the presentation!
16,Earn money from homeâ€”no experience required. Sign up now!
17,Meeting moved to 10 AM tomorrow.
18,Click here to unlock your exclusive cashback reward.
19,Looking forward to our trip this weekend.
20,Win a free iPhone just by filling out this quick survey!
